Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2020-04-08,7179.283203,7356.223633,7153.305664,7334.098633,7334.098633,[],None,0.7629458877542791,0.10903420780837841,0.1280199044373425,,0,0.008846420423701082,0.006953266875403846,0.009992239031214462,0.01135809552740448
2020-04-09,7337.966309,7341.448242,7179.094238,7302.089355,7302.089355,['hanging man'],None,0.22097979178881316,0.021446548370929065,0.7575736598402578,,0,0.011451657348005073,0.006714428500241551,0.010423294649602843,0.010832704866386614
2020-04-10,7303.81543,7303.81543,6802.475098,6865.493164,6865.493164,[],None,0.874300825252574,0.0,0.125699174747426,,0,0.010890973018015712,0.006106108918656941,0.004128111508045443,0.003666546311127214
2020-04-11,6867.44043,6926.069824,6789.920898,6859.083008,6859.083008,['doji'],None,0.06138441371179125,0.4306269298077354,0.5079886564804733,,0,0.003726629620028843,0.0,0.003918268247833714,0.0035613319386546965
2020-04-12,6858.067871,7119.947266,6811.078125,6971.091797,6971.091797,"['bullish engulfing', 'inverse hammer']",None,0.36592819092924467,0.48193700580790627,0.15213480326284903,,0,0.003572752264098991,0.0031339524773256883,0.00427191097223828,0.005399810510165179
2020-04-13,6965.616699,6965.616699,6668.259766,6845.037598,6845.037598,[],None,0.4055029078471167,0.0,0.5944970921528833,,0,0.005338473801407548,0.0006392596559879199,0.001884704294739914,0.003330794803635073
2020-04-14,6843.281738,6958.557129,6793.821289,6842.427734,6842.427734,['doji'],None,0.005184081375369244,0.6997590263296716,0.2950568922949592,,0,0.0033299956113569396,0.0005251444878583839,0.003983463223502459,0.0032879572809603463
2020-04-15,6845.561523,6928.664551,6633.402832,6642.109863,6642.109863,[],None,0.689055325861598,0.2814554771321355,0.02948919700626654,,0,0.0033674248009612634,4.194273983475216e-05,0.00130207117820956,0.0
2020-04-16,6640.454102,7134.450684,6555.504395,7116.804199,7116.804199,['bullish engulfing'],None,0.8227880652327665,0.030480349101953047,0.1467315856652804,,0,0.0,0.003368394516079176,0.0,0.007791490047744334
2020-04-17,7116.552734,7167.183105,7050.332031,7096.18457,7096.18457,[],None,0.17430874447931474,0.4332897359591246,0.39240151956156066,,0,0.007816520403230678,0.0038975012075209703,0.00827103633693152,0.007453045659518737
2020-04-18,7092.291504,7269.956543,7089.24707,7257.665039,7257.665039,['bullish engulfing'],None,0.9151348418795994,0.06801803909859121,0.01684711902180943,,0,0.007418202940091073,0.005558793348064986,0.008921500616218686,0.010103537505957341
2020-04-19,7260.922363,7280.521973,7167.054688,7189.424805,7189.424805,[],None,0.6301160550373635,0.17273357690721391,0.19715036805542263,,0,0.010186760674547699,0.0057295793620588675,0.0102220537562379,0.008983462831068545
2020-04-20,7186.873535,7240.290527,6835.50293,6881.958496,6881.958496,[],None,0.7532716942411631,0.13196301565534463,0.1147652901034922,,0,0.0089710374273166,0.005079253885523577,0.004680171212734355,0.003936803317966253
2020-04-21,6879.78418,6934.551758,6834.442383,6880.323242,6880.323242,['doji'],None,0.005384730451076537,0.5416926836272749,0.45292258592164863,,0,0.003929287572062984,0.0001371071218889408,0.004662444185915618,0.003909962750678481
2020-04-22,6879.44043,7145.865723,6867.781738,7117.20752,7117.20752,[],None,0.8550189972284815,0.10305592751053225,0.041925075260986225,,0,0.003923643932892407,0.0035529141248783203,0.005219710992765622,0.007798110037323364
2020-04-23,7121.306152,7491.785156,7081.594727,7429.724609,7429.724609,[],None,0.7518909150364393,0.15129691629153055,0.09681216867203012,,0,0.007894561351649287,0.009144565494022386,0.008793591820486696,0.012927671534121013
2020-04-24,7434.181641,7574.195801,7434.181641,7550.900879,7550.900879,['three white soldiers'],None,0.8336245276906272,0.16637547230937277,0.0,,0,0.013031307141415122,0.010476701107075076,0.014687076673504385,0.014916622381277903
2020-04-25,7550.48291,7641.36377,7521.672363,7569.936035,7569.936035,[],None,0.16252733164044064,0.5967657728344697,0.24070689552508961,,0,0.01494072502451485,0.01156244486701434,0.016149482748185243,0.015229059706275319
2020-04-26,7570.13916,7700.594238,7561.407715,7679.867188,7679.867188,[],None,0.7883523895485264,0.14891563890851414,0.0627319715429595,,0,0.015263438573450236,0.012519882050045464,0.016813658546670288,0.01703343658541416
2020-04-27,7679.418945,7795.601074,7679.418945,7795.601074,7795.601074,[],None,1.0,0.0,0.0,7161.3514404,0,0.017057578719421443,0.014055630128695457,0.018786214443883745,0.018933057778610304
2020-04-28,7796.970215,7814.527344,7730.806641,7807.058594,7807.058594,['hammer'],None,0.12050040955819266,0.08921031157609849,0.7902892788657089,7184.9994384500005,0,0.018987518943195655,0.014361565827769901,0.019645158993389825,0.019121118065581658
2020-04-29,7806.712402,8871.753906,7786.049316,8801.038086,8801.038086,[],None,0.9158344665375322,0.06513357376521677,0.019031959697251046,7259.946875,0,0.01914746479966177,0.031451216737618554,0.020568539457682042,0.03543599846807284
2020-04-30,8797.669922,9440.650391,8533.255859,8658.553711,8658.553711,['shooting star'],None,0.15331391814029457,0.7086007754342531,0.13808530642545233,7349.59990235,0,0.03541686603964446,0.04064720431675953,0.03305808534946807,0.03309730279471311
2020-05-01,8672.782227,9048.023438,8667.763672,8864.766602,8864.766602,[],None,0.504876908276432,0.4819253899188482,0.013197701804719847,7449.88408205,0,0.033366477421682736,0.03430054428593868,0.035306381378197096,0.03648201916078973
2020-05-02,8869.057617,9007.1875,8811.366211,8988.59668,8988.59668,[],None,0.6104497810756442,0.0949376857589753,0.2946125331653805,7550.759326200001,0,0.03658889917942275,0.03364044743434613,0.03770669561235325,0.03851452881421945
2020-05-03,8983.614258,9167.78125,8830.97168,8897.46875,8897.46875,['shooting star'],None,0.2557691813804452,0.5467985722614731,0.19743224635808165,7653.380883800001,0,0.03846967400530395,0.03623638214167285,0.038034400725617354,0.03701878238157917
2020-05-04,8895.745117,8956.90625,8645.024414,8912.654297,8912.654297,[],None,0.05421662324701306,0.14188691963452724,0.8038964571184597,7756.892211950001,0,0.03702705080230166,0.03282767083499047,0.034926295029921964,0.037268033382374874
2020-05-05,8912.832031,9062.415039,8856.827148,9003.070313,9003.070313,[],None,0.4389280008714161,0.2886586642401015,0.2724133348884824,7874.94023445,0,0.03730758135402405,0.034533178846934354,0.038466574476188495,0.038752094672755824
2020-05-06,9007.441406,9411.467773,8966.706055,9268.761719,9268.761719,[],None,0.5875512716676761,0.3208595709219747,0.09158915741034929,7982.538110449999,0,0.03886086477119717,0.040175478792466995,0.04030319871934075,0.04311307349349365
2020-05-07,9261.895508,9992.664063,9138.322266,9951.518555,9951.518555,[],None,0.8071980668879767,0.048160476456239165,0.14464145665578415,8125.304809700001,0,0.04303845644293451,0.04957028787426829,0.04317176105078559,0.054319638833096526
2020-05-08,9936.162109,9996.743164,9767.172852,9842.666016,9842.666016,[],None,0.40726560932670436,0.26388889082486755,0.32884549984842804,8254.55485855,0,0.054108470699840636,0.04963622493508535,0.053682988938846946,0.052532965999717254
2020-05-09,9840.90625,9913.863281,9580.644531,9593.896484,9593.896484,[],None,0.7412841144143276,0.21894635580980937,0.03976952977586305,8374.7784425,0,0.05254457339924774,0.048296504274605856,0.05056517091774955,0.04844973772888321
2020-05-10,9591.168945,9595.581055,8395.107422,8756.430664,8756.430664,[],None,0.695340787214107,0.0036753077108200973,0.30098390507507294,8468.502050899999,0,0.048444421437499705,0.04315159746971087,0.030748936346486136,0.034703825660836005
2020-05-11,8755.535156,9033.470703,8374.323242,8601.795898,8601.795898,['three black crows'],None,0.23323955123298198,0.42165913311467756,0.3451013156523404,8554.575683699999,0,0.03472510337538133,0.03406530505730726,0.03040152909695791,0.0321656971243197
2020-05-12,8610.385742,8949.898438,8569.643555,8804.477539,8804.477539,[],None,0.5104255216099337,0.38243006336358026,0.10714441502648599,8638.939184649998,0,0.032342060703567974,0.03271439231454232,0.0336663051293213,0.035492452615061384
2020-05-13,8805.387695,9317.878906,8805.387695,9269.987305,9269.987305,[],None,0.906551371082929,0.09344862891707095,0.0,8730.95231945,0,0.03554357535168047,0.03866265162413271,0.03760676480922216,0.04313318989345351
2020-05-14,9271.329102,9793.268555,9255.035156,9733.72168,9733.72168,['three white soldiers'],None,0.8590930604809983,0.11063392779161207,0.030273011727389585,8840.093359499999,0,0.04319333586291317,0.046347138033740604,0.045122615214836945,0.05074478643799167
2020-05-15,9734.291016,9755.828125,9261.398438,9328.197266,9328.197266,[],None,0.8213377163171841,0.04355949807682319,0.1351027856059927,8928.00642105,0,0.050794179476972776,0.04574192823140247,0.045228977375749366,0.044088630684327154
2020-05-16,9333.240234,9564.205078,9260.694336,9377.013672,9377.013672,[],None,0.14422368615868725,0.6167538083380307,0.23902250550328202,9012.86374525,0,0.04420978412371203,0.04264441716119585,0.04521720832163191,0.04488988848891921
2020-05-17,9374.929688,9823.001953,9349.545898,9670.739258,9670.739258,[],None,0.624787806336111,0.32159836882855175,0.05361382483533732,9106.62065445,1,0.044894235718167655,0.046827766699768764,0.046702360816015046,0.04971101190777304
