Date,Open,High,Low,Close,Adj Close,Volume
2020-04-08,14.694789,15.262303,14.562204,15.056076,15.056076,434986928
2020-04-09,15.067224,15.184843,14.764309,15.062604,15.062604,444821353
2020-04-10,15.060228,15.108041,13.592670,13.737724,13.737724,394331907
2020-04-11,13.737724,14.067329,13.613005,13.804288,13.804288,364313702
2020-04-12,13.812086,14.745192,13.729534,14.375111,14.375111,414752932
2020-04-13,14.404006,15.048384,13.723426,15.034427,15.034427,459561236
2020-04-14,15.012063,15.916357,14.836449,15.525076,15.525076,515331620
2020-04-15,15.542678,15.840276,14.542898,14.593927,14.593927,425648054
2020-04-16,14.581246,15.702730,14.236704,15.702730,15.702730,478820058
2020-04-17,15.700993,15.941592,15.352086,15.735083,15.735083,396448352
2020-04-18,15.746321,16.717245,15.730496,16.593172,16.593172,479760692
2020-04-19,16.607388,16.707396,16.098928,16.139933,16.139933,402957217
2020-04-20,16.140429,16.455177,15.013521,15.085403,15.085403,398870343
2020-04-21,15.063840,15.490221,14.883614,15.205772,15.205772,390367736
2020-04-22,15.201130,15.845876,15.017928,15.693160,15.693160,395820106
2020-04-23,15.702654,16.146147,15.526531,16.006208,16.006208,446947832
2020-04-24,15.992483,16.316772,15.889086,16.016418,16.016418,375266800
2020-04-25,16.013018,16.423733,15.958486,16.305418,16.305418,362345240
2020-04-26,16.303230,16.483435,16.199301,16.383768,16.383768,400076436
2020-04-27,16.429043,16.664110,16.209511,16.463215,16.463215,389838383
2020-04-28,16.447828,16.566999,16.278233,16.444286,16.444286,361059754
2020-04-29,16.447243,17.546227,16.373192,17.493774,17.493774,463165164
2020-04-30,17.447788,18.129528,16.780251,17.033976,17.033976,498015944
2020-05-01,17.046522,17.892700,17.026531,17.564993,17.564993,453439052
2020-05-02,17.551817,17.628757,17.406445,17.584904,17.584904,393955300
2020-05-03,17.581791,17.798849,17.027967,17.126299,17.126299,381109061
2020-05-04,17.135752,17.355347,16.462002,17.100756,17.100756,390548947
2020-05-05,17.088411,17.322493,16.727106,16.919775,16.919775,358987881
2020-05-06,16.906801,17.157682,16.657045,16.657045,16.657045,364717662
2020-05-07,16.657959,17.288240,16.351461,17.013199,17.013199,414976837
2020-05-08,17.019211,17.441483,16.912069,17.241476,17.241476,382131707
2020-05-09,17.219955,17.484697,16.889967,16.935961,16.935961,365221789
2020-05-10,16.937109,16.937109,14.720081,15.295669,15.295669,436166815
2020-05-11,15.339985,15.489830,14.284380,15.097545,15.097545,404659513
2020-05-12,15.121073,16.161190,14.992521,15.741054,15.741054,394508013
2020-05-13,15.742569,16.247789,15.724004,16.138878,16.138878,359517914
2020-05-14,16.135855,16.539185,15.921748,16.357800,16.357800,388231861
2020-05-15,16.347731,16.454601,15.652140,15.754374,15.754374,340889408
2020-05-16,15.753890,16.231842,15.649658,16.051781,16.051781,339913391
2020-05-17,16.033072,16.480417,16.028538,16.314646,16.314646,329675187
2020-05-18,16.318237,16.839167,16.278637,16.636265,16.636265,337613743
2020-05-19,16.639122,17.154663,16.368177,17.154663,17.154663,351679092
2020-05-20,17.142651,17.323343,16.655924,16.888025,16.888025,305581860
2020-05-21,16.887243,17.037516,15.791041,16.122381,16.122381,283593221
2020-05-22,16.126387,16.848112,15.980751,16.639593,16.639593,308017283
2020-05-23,16.631491,16.831505,16.358562,16.588194,16.588194,281071630
2020-05-24,16.579742,16.793018,16.081476,16.083439,16.083439,250849075
2020-05-25,16.074583,16.419571,15.958841,16.400908,16.400908,295250983
2020-05-26,16.408297,16.486422,16.048832,16.212547,16.212547,264787793
2020-05-27,16.212671,16.556841,16.179876,16.493284,16.493284,289787288
2020-05-28,16.497992,17.120119,16.470020,17.059340,17.059340,307231707
2020-05-29,17.076790,17.229921,16.722227,17.041630,17.041630,302410995
2020-05-30,17.037237,17.757654,16.963362,17.743418,17.743418,330991078
2020-05-31,17.742472,18.108484,16.917494,17.040472,17.040472,306613468
2020-06-01,17.069530,18.001842,17.012215,17.914942,17.914942,343444957
2020-06-02,17.918852,18.156345,16.903849,17.239304,17.239304,285916007
2020-06-03,17.234621,17.622936,17.104294,17.545404,17.545404,278598569
2020-06-04,17.547220,17.648666,17.136164,17.565874,17.565874,251564500
2020-06-05,17.568724,17.896044,17.487778,17.688786,17.688786,264892611
2020-06-06,17.688786,17.907988,17.531050,17.535934,17.535934,247410758
2020-06-07,17.537628,17.646267,16.964676,17.447035,17.447035,229571456
2020-06-08,17.446314,17.557604,17.288580,17.393030,17.393030,201873195
2020-06-09,17.400700,17.479162,17.250162,17.435377,17.435377,203076335
2020-06-10,17.436457,17.497927,17.264446,17.410467,17.410467,218805704
2020-06-11,17.413944,17.524494,16.208923,16.308926,16.308926,214293278
2020-06-12,16.292456,16.775976,16.157188,16.669140,16.669140,220884223
2020-06-13,16.675598,16.844383,16.542574,16.823734,16.823734,217773557
2020-06-14,16.831116,16.868830,16.551168,16.656242,16.656242,197988813
2020-06-15,16.656242,16.676376,15.625612,16.384802,16.384802,205913863
2020-06-16,16.386614,16.624720,16.235140,16.421957,16.421957,197512179
